Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
22:57:21:234640,0.374041,0.179326,-0.265,-3.871,0,-0.13,-0.069,-0.097,384,-0.00762463
22:57:21:239666,0.374055,0.178904,0.069,-2.56,0.393,-0.082,-0.06,-0.066,384,-0.00762463
22:57:21:244785,0.374034,0.178397,0.22,-1.802,0.434,-0.053,-0.019,-0.045,374,-0.00821114
22:57:21:249901,0.374051,0.177968,-0.137,-1.276,0.22,-0.051,0.044,-0.018,368,-0.00856305
22:57:21:254911,0.374042,0.177626,-0.543,-1.286,-0.055,-0.071,0.059,-0.005,368,-0.00856305
22:57:21:260022,0.374047,0.177385,-0.828,-1.475,-0.503,-0.084,0.028,-0.001,363,-0.0088563
22:57:21:265024,0.374059,0.177251,-0.833,-1.654,-0.64,-0.077,-0.013,-0.011,363,-0.0088563
22:57:21:270034,0.37405,0.177206,-1.012,-2.195,-0.428,-0.085,-0.069,-0.039,363,-0.0088563
22:57:21:275139,0.374049,0.177264,-1.274,-2.727,-0.152,-0.113,-0.089,-0.056,363,-0.0088563
22:57:21:280171,0.374064,0.177425,-1.444,-3.365,0.048,-0.142,-0.092,-0.073,363,-0.0088563
22:57:21:285286,0.374048,0.177678,-1.233,-3.479,-0.011,-0.136,-0.079,-0.074,366,-0.00868035
22:57:21:290278,0.374048,0.178029,-0.585,-3.257,-0.106,-0.113,-0.033,-0.062,375,-0.00815249
22:57:21:295275,0.374059,0.17849,-0.098,-3.031,-0.035,-0.107,0.012,-0.051,375,-0.00815249
22:57:21:300404,0.37404,0.179036,0.581,-2.831,0.222,-0.109,0.081,-0.053,394,-0.00703812
22:57:21:305540,0.374071,0.179707,0.947,-2.866,0.409,-0.108,0.102,-0.071,422,-0.00539589
22:57:21:310528,0.374053,0.180422,1.245,-3.147,0.651,-0.108,0.08,-0.111,422,-0.00539589
22:57:21:315669,0.374067,0.181106,1.275,-3.379,0.773,-0.119,0.039,-0.126,459,-0.00322581
22:57:21:320651,0.374062,0.181689,1.285,-3.265,0.729,-0.125,0.032,-0.11,502,-0.000703812
22:57:21:325777,0.374048,0.182163,1.414,-2.584,0.509,-0.125,0.064,-0.065,502,-0.000703812
22:57:21:330774,0.374061,0.182553,1.499,-1.928,0.349,-0.118,0.089,-0.045,551,0.00217009
22:57:21:335884,0.374064,0.182836,1.347,-0.935,0.191,-0.102,0.09,-0.046,551,0.00217009
22:57:21:340882,0.374053,0.183017,0.957,-0.306,0.116,-0.088,0.061,-0.047,603,0.00521994
22:57:21:346029,0.374037,0.183092,0.048,0.711,-0.058,-0.058,0,-0.011,657,0.0083871
22:57:21:350912,0.374047,0.183083,-0.598,1.448,-0.249,-0.034,-0.034,0.035,657,0.0083871
22:57:21:356184,0.374046,0.182968,-1.388,2.427,-0.586,-0.001,-0.067,0.087,701,0.0109677
22:57:21:361173,0.374035,0.182749,-1.734,2.884,-0.751,0.015,-0.083,0.091,732,0.0127859
22:57:21:366271,0.374057,0.182441,-1.875,3.363,-0.816,0.043,-0.105,0.076,732,0.0127859
22:57:21:371186,0.374065,0.182031,-1.657,3.647,-0.8,0.07,-0.11,0.08,744,0.0134897
22:57:21:376416,0.374064,0.181512,-1.045,3.915,-0.86,0.114,-0.094,0.106,738,0.0131378
22:57:21:381378,0.374048,0.180892,-0.75,3.785,-0.962,0.129,-0.071,0.117,738,0.0131378
22:57:21:386417,0.374061,0.180182,-0.844,2.993,-1.04,0.118,-0.037,0.099,715,0.0117889
22:57:21:391517,0.374058,0.179371,-1.152,2.218,-0.978,0.098,-0.023,0.077,715,0.0117889
22:57:21:396548,0.374045,0.178447,-1.488,1.007,-0.797,0.078,-0.016,0.048,678,0.00961877
22:57:21:401661,0.374053,0.177437,-1.365,-0.178,-0.604,0.079,-0.021,0.014,631,0.00686217
22:57:21:406786,0.374047,0.176315,-1.034,-0.957,-0.397,0.083,-0.029,-0.018,631,0.00686217
22:57:21:411764,0.374063,0.175112,-0.181,-1.923,0.213,0.085,-0.04,-0.069,577,0.00369501
22:57:21:416668,0.37406,0.173795,0.627,-2.298,0.792,0.083,-0.034,-0.089,519,0.000293255
