Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:03:17:339026,0.374056,0.147833,1.964,-0.661,1.438,-0.102,0.096,-0.043,609,0.00557185,456
22:03:17:344150,0.374054,0.147346,3.083,0.046,1.433,-0.112,0.212,-0.033,685,0.0100293,445
22:03:17:349152,0.374072,0.14676,2.606,0.493,1.106,-0.105,0.194,-0.02,752,0.0139589,433
22:03:17:354151,0.374061,0.146067,0.461,1.329,0.053,-0.052,0.03,0.02,752,0.0139589,431
22:03:17:359276,0.374068,0.145277,-1.232,1.924,-0.803,-0.006,-0.092,0.057,800,0.0167742,443
22:03:17:364276,0.374044,0.144374,-3.291,2.725,-1.679,0.034,-0.185,0.1,800,0.0167742,454
22:03:17:369401,0.374036,0.143379,-4.127,3.223,-1.764,0.048,-0.193,0.114,824,0.0181818,466
22:03:17:374401,0.374037,0.142292,-4.428,3.916,-1.331,0.087,-0.191,0.114,815,0.017654,477
22:03:17:379527,0.374054,0.141105,-3.997,4.189,-0.943,0.127,-0.191,0.106,815,0.017654,489
22:03:17:384526,0.374034,0.139806,-2.617,4.076,-0.48,0.16,-0.15,0.092,777,0.0154252,500
22:03:17:389651,0.374065,0.138426,-1.381,3.784,-0.244,0.155,-0.078,0.087,714,0.0117302,512
22:03:17:394651,0.374058,0.136935,0.614,3.643,0.033,0.164,0.059,0.104,714,0.0117302,520
22:03:17:399778,0.374059,0.135339,1.712,3.969,0.129,0.222,0.127,0.129,636,0.00715543,520
22:03:17:404777,0.37406,0.133653,2.304,4.737,0.106,0.368,0.145,0.154,543,0.00170088,513
22:03:17:409904,0.374064,0.131858,1.396,4.869,0.003,0.474,0.073,0.133,543,0.00170088,501
22:03:17:414902,0.374064,0.129973,0.397,4.273,-0.006,0.476,0.009,0.102,448,-0.00387097,490
22:03:17:420026,0.374063,0.127979,-0.669,2.605,0.178,0.387,-0.055,0.057,448,-0.00387097,478
22:03:17:425026,0.374037,0.12591,-0.821,1.348,0.45,0.307,-0.065,0.033,351,-0.00956012,467
22:03:17:430154,0.374032,0.123941,-0.444,-0.271,0.979,0.2,-0.041,-0.005,263,-0.0147214,455
22:03:17:435153,0.374051,0.122071,0.034,-1.097,1.285,0.14,-0.01,-0.032,263,-0.0147214,444
22:03:17:440278,0.374048,0.120301,1.133,-2.025,1.472,0.052,0.055,-0.061,200,-0.0184164,432
22:03:17:445277,0.374067,0.118635,2.053,-2.53,1.384,-0.003,0.108,-0.07,176,-0.019824,433
22:03:17:450401,0.374069,0.117065,2.929,-3.28,0.99,-0.073,0.165,-0.082,176,-0.019824,444
22:03:17:455402,0.374059,0.115587,2.667,-3.768,0.579,-0.107,0.161,-0.093,189,-0.0190616,456
22:03:17:460558,0.374073,0.114223,1.146,-4.192,-0.207,-0.136,0.086,-0.102,228,-0.0167742,467
22:03:17:465530,0.374034,0.112938,0.003,-4.131,-0.72,-0.141,0.016,-0.096,228,-0.0167742,479
22:03:17:470652,0.37407,0.111778,-1.145,-3.813,-1.128,-0.159,-0.058,-0.076,284,-0.0134897,490
