Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp, magnet_pos
22:08:15:76986,0.374062,0.124804,-0.021,-0.202,-0.359,0.005,-0.015,-0.007,552,0.00222874,620
22:08:15:81939,0.374034,0.124355,-0.417,-0.424,-0.557,-0.002,-0.024,-0.001,549,0.00205279,620
22:08:15:87095,0.374052,0.123911,-0.523,-0.585,-0.622,-0.013,-0.023,0.004,549,0.00205279,620
22:08:15:92189,0.374033,0.123442,-0.484,-0.807,-0.562,-0.027,-0.018,0,547,0.00193548,620
22:08:15:97204,0.374065,0.122971,-0.349,-1.017,-0.371,-0.032,-0.016,-0.024,545,0.00181818,620
22:08:15:102190,0.374061,0.122479,-0.255,-1.147,-0.196,-0.033,-0.016,-0.04,545,0.00181818,620
22:08:15:107322,0.374063,0.12197,-0.059,-1.223,0.126,-0.036,-0.016,-0.04,544,0.00175953,620
22:08:15:112316,0.37407,0.121455,0.171,-1.136,0.331,-0.034,-0.009,-0.023,544,0.00175953,620
22:08:15:117446,0.374041,0.120908,0.639,-0.865,0.458,-0.024,0.02,-0.004,544,0.00175953,620
22:08:15:122439,0.374059,0.120365,0.872,-0.717,0.374,-0.018,0.047,-0.008,544,0.00175953,620
22:08:15:127603,0.374041,0.119799,0.763,-0.677,0.111,-0.021,0.068,-0.026,544,0.00175953,620
22:08:15:132568,0.374072,0.119229,0.35,-0.725,-0.033,-0.028,0.053,-0.025,544,0.00175953,620
22:08:15:137708,0.374067,0.118635,-0.405,-0.738,-0.079,-0.034,-0.005,-0.003,544,0.00175953,620
22:08:15:142814,0.374066,0.118032,-0.709,-0.66,-0.012,-0.029,-0.045,0.002,544,0.00175953,620
22:08:15:147863,0.374072,0.117415,-0.681,-0.446,0.097,-0.015,-0.067,-0.011,544,0.00175953,620
22:08:15:152816,0.374036,0.116769,-0.44,-0.281,0.094,-0.008,-0.049,-0.016,544,0.00175953,620
22:08:15:157941,0.374052,0.116125,0.02,-0.063,-0.044,-0.001,0.006,0.004,544,0.00175953,620
22:08:15:162951,0.374074,0.115471,0.301,0.041,-0.144,0.002,0.04,0.023,544,0.00175953,620
22:08:15:168115,0.374056,0.114789,0.547,0.142,-0.141,0.012,0.059,0.024,544,0.00175953,620
