Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:12:17:946663,0.374058,-0.0502331,0.379,-5.672,0.197,-0.12,-0.02,-0.154,278,-0.0138416
18:12:17:951686,0.374045,-0.052063,0.569,-4.727,0.613,-0.109,0.013,-0.129,348,-0.00973607
18:12:17:956801,0.374041,-0.0537925,0.507,-4.402,0.551,-0.126,0.05,-0.111,348,-0.00973607
18:12:17:961804,0.374049,-0.0554259,0.263,-5.662,0.177,-0.283,0.093,-0.121,433,-0.00475073
18:12:17:966770,0.37407,-0.0569592,0.033,-7.725,0.047,-0.492,0.088,-0.159,527,0.000762463
18:12:17:971948,0.374063,-0.0583894,-0.341,-11.314,0.274,-0.84,0.025,-0.243,527,0.000762463
18:12:17:976901,0.374071,-0.059723,-0.528,-12.98,0.568,-0.984,-0.028,-0.295,623,0.00639296
18:12:17:982028,0.374053,-0.060953,-0.585,-13.313,0.81,-0.954,-0.071,-0.335,698,0.0107918
18:12:17:987024,0.374059,-0.0620911,-0.439,-12.065,0.7,-0.796,-0.06,-0.324,698,0.0107918
18:12:17:992174,0.37404,-0.0631209,0.007,-8.581,0.21,-0.48,-0.003,-0.246,698,0.0107918
18:12:17:997169,0.374045,-0.0640585,0.327,-5.67,-0.143,-0.287,0.033,-0.162,698,0.0107918
18:12:18:2283,0.37403,-0.0648884,0.546,-1.292,-0.344,-0.084,0.054,-0.03,632,0.00692082
18:12:18:7285,0.374041,-0.065626,0.456,1.256,-0.165,-0.009,0.045,0.041,537,0.00134897
18:12:18:12447,0.374037,-0.0662597,0.134,4.667,0.358,0.088,0.015,0.124,537,0.00134897
18:12:18:17309,0.374057,-0.0667969,-0.097,7.291,0.632,0.244,-0.006,0.184,456,-0.00340176
18:12:18:22518,0.374061,-0.0672376,-0.445,12.565,0.654,0.742,-0.043,0.303,397,-0.00686217
