time,bd,bv,hd,hv,ha,md1,md2
0.1716,0.03407753088035252,0.37189646758644096,-0.015244598515962772,0.1142974385744352,9.607034699115106,-0.06,0.06
0.1722,0.034299228766332096,0.3694964766326154,-0.015172617893749298,0.11996770368913103,9.450441857826565,-0.06,0.06
0.1728,0.034519486657586855,0.3670964854245769,-0.015097292248777091,0.1255427416203476,9.291729885360702,-0.06,0.06
0.1734,0.03473830455397316,0.3646964939771554,-0.01501867938100861,0.13102144628080808,9.131174434100998,-0.06,0.06
0.174,0.03495568245535557,0.3622965023040111,-0.014936837655954794,0.1364028750897009,8.96904801482148,-0.06,0.06
0.1746,0.03517162036160624,0.35989651041775056,-0.014851825908068562,0.14168624647705347,8.805618978920707,-0.06,0.06
0.1752,0.03538611827260426,0.3574965183300294,-0.014763703345975859,0.14687093682117694,8.641150573539296,-0.06,0.06
0.1758,0.035599176188235264,0.3550965260516415,-0.014672529459857033,0.15195647686471164,8.475900072557577,-0.06,0.06
0.1764,0.035810794108390824,0.3526965335925995,-0.014578363931263409,0.15694254765604393,8.310117985554003,-0.06,0.06
0.177,0.036020972032968154,0.35029654096220497,-0.014481266545625253,0.16182897606360155,8.144047345929478,-0.06,0.06
0.1776,0.03622970996186964,0.3478965481691114,-0.014381297107678801,0.1666157299107494,7.977923078579507,-0.06,0.06
0.1782,0.036437007895002475,0.34549655522138073,-0.014278515360011535,0.1713029127787874,7.811971446730111,-0.06,0.06
0.1788,0.0366428658322784,0.3430965621265331,-0.0141729809048966,0.17589075852489827,7.646409576851624,-0.06,0.06
0.1794,0.03684728377361337,0.3406965688915919,-0.014064753129560084,0.18037962556085735,7.481445059931589,-0.06,0.06
0.18,0.03705026171892725,0.338296575523125,-0.013953891134997917,0.1847699909369522,7.317275626824888,-0.06,0.06
0.1806,0.03725179966814363,0.33589658202727984,-0.013840453668433578,0.18906244427389768,7.154088894908977,-0.06,0.06
0.1812,0.03745189762118953,0.333496588409818,-0.013724499059483416,0.19325768158360995,6.992062182853925,-0.06,0.06
0.1818,0.03765055557799522,0.3310965946761438,-0.013606085160072865,0.19735649901759128,6.8313623899690015,-0.06,0.06
0.1824,0.037847773538494035,0.32869660083133156,-0.013485269288125237,0.201359786579377,6.672145936309343,-0.06,0.06
0.183,0.03804355150262213,0.32629660688015094,-0.013362108175024192,0.20526852183508454,6.514558759512732,-0.06,0.06
0.1836,0.0382378894703184,0.3238966128270879,-0.013236657916832031,0.20908376365359596,6.358736364185483,-0.06,0.06
0.1842,0.03843078744152423,0.32149661867636653,-0.013108973929228836,0.21280664600533386,6.204803919563313,-0.06,0.06
0.1848,0.038622245416183414,0.31909662443196646,-0.012979110906121232,0.21643837184601308,6.052876401132089,-0.06,0.06
0.1854,0.038812263394242014,0.31669663009764026,-0.012847122781855737,0.21998020710915414,5.903058771901608,-0.06,0.06
0.186,0.03900084137564818,0.3142966356769297,-0.01271306269695858,0.22343347482859954,5.7554461990757515,-0.06,0.06
0.1866,0.03918797936035209,0.3118966411731791,-0.012576982967312722,0.22679954940976998,5.610124301950879,-0.06,0.06
0.1872,0.03937367734830584,0.30949664658954873,-0.012438935056673138,0.23007985106596743,5.467169426995511,-0.06,0.06
0.1878,0.03955793533946326,0.30709665192902735,-0.012298969552412924,0.23327584043369523,5.326648946213106,-0.06,0.06
0.1884,0.03974075333377994,0.30469665719444283,-0.012157136144385683,0.2363890133787321,5.188621575061291,-0.06,0.06
0.189,0.03992213133121302,0.30229666238847286,-0.012013483606784146,0.23942089600256686,5.053137706391326,-0.06,0.06
0.1896,0.04010206933172123,0.29989666751365396,-0.011868059782870062,0.24237303985681208,4.920239757075443,-0.06,0.06
0.1902,0.04028056733526468,0.29749667257239065,-0.011720911572447257,0.2452470173713348,4.78996252420446,-0.06,0.06
0.1908,0.04045762534180486,0.2950966775669637,-0.011572084921947196,0.2480444175001101,4.662333547958866,-0.06,0.06
0.1914,0.04063324335130459,0.2926966824995373,-0.011421624816994878,0.2507668415871987,4.537373478481041,-0.06,0.06
0.192,0.0408074213637279,0.2902966873721662,-0.011269575277322608,0.2534158994537796,4.41509644430142,-0.06,0.06
0.1926,0.04098015937903998,0.28789669218680247,-0.01111597935389911,0.255993205705836,4.295510420094041,-0.06,0.06
0.1932,0.04115145739720717,0.28549669694530116,-0.010960879128142573,0.25850037626088956,4.178617591755846,-0.06,0.06
0.1938,0.04132131541819683,0.2830967016494265,-0.010804315713087917,0.2609390250910997,4.064414717016881,-0.06,0.06
0.1944,0.04148973344197735,0.28069670630085664,-0.010646329256380463,0.2633107611790957,3.952893479993447,-0.06,0.06
0.195,0.041656711468518084,0.2782967109011884,-0.010486958944971217,0.2656171856820715,3.8440408382929285,-0.06,0.06
0.1956,0.04182224949778926,0.2758967154519429,-0.01032624301139185,0.26785988929895066,3.7378393614653453,-0.06,0.06
0.1962,0.04198634752976201,0.2734967199545685,-0.010164218741490958,0.2700404498348144,3.6342675597727947,-0.06,0.06
0.1968,0.04214900556440828,0.2710967244104459,-0.010000922483517206,0.2721604299562623,3.533300202413169,-0.06,0.06
0.1974,0.04231022360170083,0.2686967288208913,-0.009836389658438634,0.274221375130955,3.4349086244879343,-0.06,0.06
0.198,0.04247000164161314,0.26629673318715996,-0.009670654771392085,0.2762248117442429,3.3390610221464017,-0.06,0.06
0.1986,0.04262833968411942,0.26389673751044995,-0.009503751424160772,0.27817224538552454,3.245722735469453,-0.06,0.06
0.1992,0.04278523772919457,0.2614967417919046,-0.009335712328582702,0.28006515929678966,3.1548565187753144,-0.06,0.06
0.1998,0.042940695776814156,0.25909674603261573,-0.009166569320797294,0.28190501297567283,3.066422798138549,-0.06,0.06
0.2004,0.04309471382695434,0.2566967502336268,-0.00899635337624213,0.2836932409252795,2.9803799160110973,-0.06,0.06
