Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
18:05:44:885165,0.37405,0.130308,2.482,6.377,-0.237,0.618,0.097,0.149,698,0.0107918
18:05:44:890277,0.374048,0.129996,1.994,6.219,-0.404,0.622,0.065,0.145,682,0.00985337
18:05:44:895277,0.374058,0.129585,1.479,6.089,-0.677,0.621,0.047,0.137,682,0.00985337
18:05:44:900406,0.374071,0.129082,1.347,6.066,-0.711,0.612,0.048,0.132,663,0.008739
18:05:44:905402,0.374059,0.128464,1.236,6.173,-0.555,0.592,0.054,0.141,641,0.00744868
18:05:44:910530,0.374053,0.127751,1.064,6.355,-0.47,0.584,0.052,0.161,641,0.00744868
18:05:44:915560,0.374053,0.126942,0.562,6.61,-0.565,0.583,0.043,0.194,616,0.0059824
18:05:44:920552,0.374063,0.126033,0.109,6.576,-0.715,0.58,0.034,0.201,616,0.0059824
18:05:44:925645,0.374036,0.12501,-0.497,6.085,-0.792,0.556,0.019,0.183,585,0.00416422
18:05:44:930784,0.374052,0.123911,-0.618,5.404,-0.522,0.528,0.011,0.155,549,0.00205279
18:05:44:935804,0.374036,0.122685,-0.305,5.101,-0.217,0.522,0.012,0.141,549,0.00205279
18:05:44:940911,0.37406,0.121383,0.542,4.937,0.201,0.531,0.022,0.128,507,-0.000410557
18:05:44:945912,0.37404,0.119971,1.073,4.847,0.331,0.537,0.032,0.122,464,-0.00293255
18:05:44:950931,0.374067,0.118462,1.444,4.392,0.166,0.526,0.052,0.116,464,-0.00293255
18:05:44:955933,0.374044,0.116844,1.433,3.815,-0.168,0.507,0.074,0.116,420,-0.0055132
18:05:44:961039,0.374059,0.115138,1.341,2.732,-0.767,0.469,0.111,0.11,420,-0.0055132
18:05:44:966163,0.374072,0.113325,1.339,2.039,-1.028,0.445,0.125,0.094,376,-0.00809384
18:05:44:971272,0.374069,0.111416,1.314,1.257,-1.037,0.418,0.112,0.057,334,-0.0105572
18:05:44:976270,0.374054,0.109402,1.183,0.96,-0.854,0.409,0.084,0.037,334,-0.0105572
18:05:44:981281,0.374074,0.10729,0.815,0.872,-0.533,0.411,0.039,0.029,297,-0.0127273
18:05:44:986407,0.374073,0.10508,0.515,1.022,-0.386,0.418,0.018,0.036,268,-0.0144282
18:05:44:991414,0.374051,0.102761,0.072,1.406,-0.325,0.429,-0.003,0.052,268,-0.0144282
18:05:44:996541,0.374074,0.100408,-0.118,1.635,-0.377,0.432,-0.01,0.06,253,-0.0153079
18:05:45:1528,0.374034,0.0981308,0.045,1.765,-0.492,0.428,0.001,0.068,250,-0.0154839
18:05:45:6661,0.37406,0.095972,0.514,1.685,-0.506,0.418,0.034,0.069,250,-0.0154839
18:05:45:11652,0.374069,0.0939123,1.362,1.385,-0.38,0.391,0.104,0.059,255,-0.0151906
18:05:45:16761,0.374067,0.0919439,1.726,1.046,-0.257,0.36,0.146,0.042,255,-0.0151906
18:05:45:21779,0.374054,0.0900784,1.655,0.949,-0.288,0.346,0.137,0.035,270,-0.0143109
18:05:45:26893,0.374073,0.0883214,1.426,1.149,-0.389,0.346,0.09,0.043,288,-0.0132551
18:05:45:31895,0.374045,0.0866453,1.205,1.387,-0.32,0.35,0.064,0.055,288,-0.0132551
18:05:45:37023,0.374054,0.0850889,0.461,1.385,0.002,0.33,0.048,0.065,313,-0.0117889
18:05:45:42033,0.37406,0.0836266,-0.229,1.003,0.117,0.294,0.042,0.063,348,-0.00973607
18:05:45:47184,0.374068,0.0822591,-0.811,0.299,-0.185,0.255,0.025,0.052,348,-0.00973607
18:05:45:52163,0.374074,0.0810038,-0.691,0.096,-0.543,0.264,0.011,0.047,387,-0.00744868
18:05:45:57287,0.374039,0.079833,-0.36,0.165,-0.725,0.312,0,0.033,434,-0.00469208
18:05:45:62289,0.374054,0.0787698,-0.367,0.191,-0.496,0.328,-0.002,0.016,434,-0.00469208
18:05:45:67423,0.374071,0.0778146,-0.19,0.282,0.021,0.323,0.004,-0.003,486,-0.00164223
18:05:45:72411,0.374055,0.0769485,0.548,0.78,0.257,0.335,0.03,0.001,486,-0.00164223
18:05:45:77519,0.374044,0.0761791,2.31,2.4,0.359,0.405,0.112,0.04,542,0.00164223
18:05:45:82510,0.374041,0.0755184,3.228,3.625,0.275,0.454,0.175,0.072,605,0.00533724
18:05:45:87658,0.37405,0.0749592,3.562,4.893,-0.074,0.486,0.216,0.109,605,0.00533724
18:05:45:92672,0.374069,0.0744969,3.23,5.409,-0.385,0.49,0.19,0.123,669,0.00909091
18:05:45:97782,0.374053,0.0741337,2.197,6.25,-0.733,0.514,0.103,0.144,727,0.0124927
18:05:45:102793,0.374052,0.0738685,0.554,7.229,-0.876,0.544,0.028,0.175,727,0.0124927
18:05:45:107959,0.374059,0.0737072,-0.665,7.686,-0.968,0.549,-0.007,0.198,775,0.0153079
18:05:45:112910,0.374033,0.0736451,-1.938,7.964,-1.183,0.546,-0.062,0.222,775,0.0153079
18:05:45:117889,0.374067,0.0736862,-2.14,8.08,-1.296,0.559,-0.099,0.226,809,0.0173021
18:05:45:123037,0.374066,0.0738222,-1.653,8.414,-1.279,0.598,-0.122,0.22,822,0.0180645
18:05:45:128039,0.374031,0.0740573,-1.118,8.644,-1.165,0.617,-0.1,0.215,822,0.0180645
18:05:45:133140,0.374029,0.0743336,-0.426,8.615,-0.977,0.616,-0.032,0.209,815,0.017654
18:05:45:138157,0.374057,0.0745285,-0.09,8.271,-0.893,0.606,0.009,0.205,792,0.016305
18:05:45:143271,0.374072,0.0746226,0.445,7.575,-0.812,0.604,0.048,0.197,792,0.016305
18:05:45:148301,0.374072,0.0746188,0.98,7.296,-0.719,0.62,0.066,0.191,759,0.0143695
18:05:45:153403,0.374065,0.0745075,2.045,7.502,-0.377,0.67,0.098,0.184,720,0.0120821
18:05:45:158394,0.374045,0.0742951,2.743,8.039,-0.019,0.724,0.122,0.185,720,0.0120821
18:05:45:163522,0.374055,0.0739941,3.378,9.059,0.476,0.816,0.148,0.198,683,0.00991202
18:05:45:168561,0.374055,0.0735814,3.382,9.56,0.628,0.858,0.151,0.21,683,0.00991202
18:05:45:173653,0.374041,0.0730677,2.756,9.658,0.531,0.853,0.132,0.221,648,0.00785924
18:05:45:178649,0.374056,0.0724696,2.057,9.297,0.3,0.809,0.107,0.219,610,0.0056305
18:05:45:183667,0.374059,0.071756,0.961,8.501,-0.226,0.73,0.061,0.199,610,0.0056305
18:05:45:188818,0.374047,0.0709456,0.173,7.965,-0.801,0.673,0.02,0.183,569,0.00322581
18:05:45:193886,0.374061,0.0700429,-0.08,7.946,-1.018,0.646,0.002,0.194,526,0.000703812
18:05:45:198900,0.374059,0.0690287,-0.056,8.321,-0.922,0.62,-0.005,0.237,526,0.000703812
18:05:45:204034,0.374036,0.0679176,0.129,8.531,-0.693,0.614,0.001,0.255,477,-0.00217009
18:05:45:209036,0.374038,0.0667108,0.321,8.138,-0.465,0.6,0.015,0.229,477,-0.00217009
18:05:45:214048,0.374064,0.0654048,0.21,7.298,-0.491,0.572,0.02,0.193,425,-0.00521994
18:05:45:219039,0.374064,0.0639981,-0.299,5.658,-0.755,0.511,0.018,0.16,370,-0.00844575
18:05:45:224157,0.374038,0.0624841,-0.663,4.672,-1.028,0.481,0.013,0.156,370,-0.00844575
18:05:45:229316,0.37403,0.0608706,-0.845,3.441,-1.423,0.464,0.009,0.133,316,-0.0116129
