Time,X,Y,Fx,Fy,Fz,Mx,My,Mz,Potentiometer_bit,handle_disp
23:23:00:791696,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791716,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791732,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791748,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791765,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791781,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791797,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791814,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791842,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791860,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791877,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791893,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791909,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791926,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791942,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791958,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791974,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:791991,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792007,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792023,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792039,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792055,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792072,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792088,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792104,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792120,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792137,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792153,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792169,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792186,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792202,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792218,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792234,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792251,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792267,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792283,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792299,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792315,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792356,0.374067,-0.050001,-2.019,-11.892,2.433,1.711,-0.185,-0.369,508,0.00234604
23:23:00:792381,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792413,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792443,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792459,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792476,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792492,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792508,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792529,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792546,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792562,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792578,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792595,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792611,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792627,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792649,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792668,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792684,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792701,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792717,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792733,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792749,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792765,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792781,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792797,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792813,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792829,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792845,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792861,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792878,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792894,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792910,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792926,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792942,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792958,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792974,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:792991,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793007,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793023,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793039,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793055,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793071,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793087,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793103,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793119,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793135,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793152,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793168,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793184,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793201,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793217,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793233,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793249,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793265,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793282,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793298,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793314,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793330,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793346,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793362,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793378,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793399,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793417,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793434,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793450,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793466,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793482,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
23:23:00:793499,0.374067,-0.050001,-2.113,-11.58,2.45,1.692,-0.189,-0.351,508,0.00234604
